code,name,first_trade_date,first_vol,publish_price,current_vol,treasury_shares,publish_vol,foreign_owner,foreign_owner_ratio,foreign_vol_remain,current_price,market_capital,category,exchanges
PGS,CTCP Kinh doanh Khí Miền Nam,15/11/2007,15000000.0,70.4,50000000.0,0.0,50000000.0,24500000.0,49.0,14219187.0,29.7,1485.0,daukhi,HNX
PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,27/12/2006,15000000.0,68.6,80798839.0,0.0,80798839.0,39591431.0,48.99999986385943,33847202.0,42.7,3450.1,daukhi,HNX
PPE,CTCP Tư vấn Điện lực Dầu khí Việt Nam,21/09/2011,2000000.0,11.5,2000000.0,0.0,2000000.0,980000.0,49.0,670800.0,12.8,25.6,daukhi,HNX
PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,07/01/2011,15000000.0,13.0,15000000.0,0.0,15000000.0,7350000.0,49.0,3215590.0,13.8,207.0,daukhi,HNX
PVB,CTCP Bọc ống Dầu khí Việt Nam,24/12/2013,21599998.0,12.4,21599998.0,0.0,21599998.0,10583999.0,48.9999999074074,8143739.0,16.8,362.9,daukhi,HNX
PVC,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,15/11/2007,12000000.0,154.9,50000000.0,0.0,50000000.0,24500000.0,49.0,17239566.0,13.6,680.0,daukhi,HNX
PVI,CTCP PVI,10/08/2007,50000000.0,110.3,216586467.0,8827700.0,225414167.0,102832179.0,45.6192174469673,0.0,50.3,11338.3,daukhi,HNX
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,20/09/2007,100000000.0,127.9,477966290.0,0.0,477966290.0,218883206.0,45.79469527024594,85064203.0,29.2,13956.6,daukhi,HNX
BSC,CTCP Dịch vụ Bến Thành,05/01/2011,3000000.0,10.5,3150747.0,0.0,3150747.0,1543866.0,48.999999047844845,1391866.0,16.2,51.0,dichvu,HNX
CMS,CTCP CMVIETNAM,29/11/2010,2500000.0,23.0,17200000.0,0.0,17200000.0,8428000.0,49.0,7298315.0,10.1,173.7,dichvu,HNX
CTC,CTCP Gia Lai CTC,18/07/2008,2376200.0,24.3,8799926.0,0.0,8799926.0,4311963.0,48.99999159083838,4303693.0,7.7,67.8,dichvu,HNX
DL1,CTCP Tập đoàn Năng lượng Tái tạo Việt Nam,10/03/2010,1500000.0,24.0,101177353.0,0.0,101177353.0,7457141.0,7.370365777408705,7227872.0,12.5,1264.7,dichvu,HNX
OCH,CTCP Khách sạn và Dịch vụ OCH,01/10/2010,100000000.0,26.8,200000000.0,0.0,200000000.0,98000000.0,49.0,97809700.0,9.9,1980.0,dichvu,HNX
PDC,CTCP Du lịch Dầu khí Phương Đông,29/09/2009,15000000.0,22.8,15000000.0,0.0,15000000.0,7350000.0,49.0,7345900.0,6.5,97.5,dichvu,HNX
SGH,CTCP Khách sạn Sài Gòn,16/07/2001,1766300.0,25.2,12364100.0,0.0,12364100.0,1730974.0,14.000000000000002,1699054.0,37.0,457.5,dichvu,HNX
VCM,CTCP Nhân lực và Thương mại Vinaconex,11/05/2010,3000000.0,56.1,3000000.0,0.0,3000000.0,1470000.0,49.0,1136230.0,16.7,50.1,dichvu,HNX
BII,Công ty cổ phần Louis Land,22/09/2014,32800000.0,12.0,57680000.0,0.0,57680000.0,28263200.0,49.0,27621920.0,15.0,865.2,dtpt,HNX
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,19/08/2009,5000000.0,15.9,4976000.0,12000.0,4988000.0,2450000.0,49.11788291900561,988200.0,24.4,121.7,dtpt,HNX
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,11/08/2009,8000000.0,26.1,15000000.0,0.0,15000000.0,7350000.0,49.0,4880263.0,24.7,370.5,dtpt,HNX
FID,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,20/05/2015,10000000.0,11.5,23539998.0,0.0,23539998.0,10779999.0,45.79439216604862,10773499.0,8.0,188.3,dtpt,HNX
HLD,CTCP Đầu tư và Phát triển Bất động sản HUDLAND,26/03/2013,20000000.0,19.0,40000000.0,0.0,40000000.0,9800000.0,24.5,7611500.0,48.2,1928.0,dtpt,HNX
SEB,CTCP Đầu tư và Phát triển Điện Miền Trung,14/01/2009,12500000.0,14.9,31999969.0,0.0,31999969.0,9800000.0,30.625029667997488,9779140.0,43.0,1376.0,dtpt,HNX
SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam,19/08/2009,8000000.0,20.1,10000000.0,0.0,10000000.0,4900000.0,49.0,2590090.0,23.0,230.0,dtpt,HNX
VLA,CTCP Đầu tư và Phát triển Công nghệ Văn Lang,04/08/2010,1080000.0,20.0,1080000.0,0.0,1080000.0,529200.0,49.0,29400.0,23.0,24.8,dtpt,HNX
CSC,CTCP Tập đoàn COTANA,04/11/2009,2500000.0,46.6,22816275.0,0.0,22816275.0,4900000.0,21.475898234922223,2982383.0,142.4,3249.0,dtxd,HNX
CTX,Tổng Công ty cổ phần Đầu tư Xây dựng và Thương mại Việt Nam,24/05/2012,25453800.0,10.5,78907276.0,0.0,78907276.0,12913362.0,16.365236077849147,12913362.0,8.3,654.9,dtxd,HNX
HUT,CTCP Tasco,11/04/2008,5500000.0,27.6,268631965.0,0.0,268631965.0,82524533.0,30.72029533045332,58839130.0,13.5,3626.5,dtxd,HNX
L18,CTCP Đầu tư và Xây dựng Số 18,23/04/2008,3500000.0,20.7,38116528.0,0.0,38116528.0,2646000.0,6.9418704662712205,2634250.0,62.1,2367.0,dtxd,HNX
LHC,CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng,13/01/2010,2000000.0,60.0,7200000.0,0.0,7200000.0,1764000.0,24.5,1018940.0,93.0,669.6,dtxd,HNX
LUT,CTCP Đầu tư Xây dựng Lương Tài,04/01/2008,5550000.0,59.3,14920000.0,40000.0,14960000.0,7350000.0,49.13101604278075,7344420.0,7.0,104.7,dtxd,HNX
SDU,CTCP Đầu tư Xây dựng và Phát triển Đô thị Sông Đà,28/09/2009,10000000.0,80.9,20000000.0,0.0,20000000.0,9800000.0,49.0,9020200.0,11.0,220.0,dtxd,HNX
TTZ,CTCP Đầu tư Xây dựng và Công nghệ Tiến Trung,29/01/2013,3500000.0,9.4,7570444.0,0.0,7570444.0,2572500.0,33.9808338850403,2563500.0,5.8,43.9,dtxd,HNX
AMV,CTCP Sản xuất Kinh doanh Dược và Trang thiết bị Y tế Việt Mỹ,30/12/2009,2100000.0,17.0,91108861.0,0.0,91108861.0,1036717.0,1.1378882236273373,794777.0,11.9,1084.2,duocpham,HNX
CPC,CTCP Thuốc sát trùng Cần Thơ,18/01/2010,4108800.0,24.5,3859850.0,221600.0,4081450.0,2108494.0,51.66041480356246,1473289.0,28.0,114.3,duocpham,HNX
DHT,CTCP Dược phẩm Hà Tây,03/12/2008,4122602.0,24.4,21127365.0,0.0,21127365.0,3078474.0,14.571026722925456,2797853.0,46.6,984.5,duocpham,HNX
DNM,Tổng Công ty cổ phần Y tế DANAMECO,16/02/2011,2411510.0,26.0,4377605.0,0.0,4377605.0,2145026.0,48.999989720406475,1960460.0,35.7,156.3,duocpham,HNX
DP3,CTCP Dược phẩm Trung ương 3,17/07/2015,5250000.0,22.0,10343750.0,0.0,10343750.0,3332000.0,32.212688821752266,3323600.0,115.6,1195.7,duocpham,HNX
LDP,CTCP Dược Lâm Đồng - Ladophar,20/07/2010,1700000.0,80.0,12703167.0,0.0,12703167.0,1665979.0,13.11467447448341,1538746.0,15.2,193.1,duocpham,HNX
MKV,CTCP Dược thú Y Cai Lậy,21/11/2008,1000000.0,15.3,5000038.0,0.0,5000038.0,2450018.0,48.999987600094244,2364237.0,29.7,148.5,duocpham,HNX
PMC,CTCP Dược phẩm Dược liệu Pharmedic,09/10/2009,6481634.0,85.0,9332573.0,0.0,9332573.0,4572960.0,48.99999174932786,2543830.0,65.1,607.6,duocpham,HNX
